"Full Name",Position,"Arm Length","Hand Size"
"Ito Smith",RB,"28 7/8","9 3/8"
"Izzy Matthews",RB,"29 5/8","9 5/8"
"J.D. McKissic",RB,"29    ","9 5/8"
"Jackie Battle",RB,"32 5/8","9 5/8"
"Jacques Patrick",RB,"32 1/2","9 7/8"
"Jacquizz Rodgers",RB,"30 3/8","8 3/4"
"Jahad Thomas",RB,"30 1/8","9    "
"Jahwan Edwards",RB,"31 5/8","8 7/8"
"Jalen Parmele",RB,"32 1/4","8 7/8"
"Jalen Rhodes",RB,"29 1/4","8 7/8"
"Jalen Richard",RB,"29 1/8","8 7/8"
"Jalen Simmons",RB,"29 5/8","8 1/8"
"Jalin Moore",RB,"32 3/8","9 1/4"
"Jalston Fowler",RB,"32 3/4","10 1/2"
"Jamaal Charles",RB,"31 5/8","9 1/8"
"Jamaal Williams",RB,"31 1/4","10    "
"Jamal Morrow",RB,"29 3/8","8 7/8"
"Jamauri Bogan",RB,"28 1/4","8 3/8"
"James Butler",RB,"29 5/8","8 3/4"
"James Conner",RB,"31 1/4","9 7/8"
"James Flanders",RB,"29 1/2","8    "
"James Starks",RB,"33 5/8","9 1/2"
"James Summers",RB,"30 7/8","9 3/8"
"James White",RB,"29 1/4","8 1/4"
"James Wilder Jr.",RB,"32    ","9 3/4"
"James Williams",RB,"30 3/8","9 1/4"
"Jarveon Williams",RB,"30 1/8","9 1/2"
"Jarvion Franklin",RB,"31 1/4","9 1/4"
"Javorius Allen",RB,"31 3/4","9 3/8"
"Jay Ajayi",RB,"32    ","10    "
"Jay Prosch",RB,"30 1/8","10    "
"Jaylen Samuels",RB,"31 3/8","9 1/4"
"Jeff Wilson",RB,"31 1/2","9 1/4"
"Jeremy Cox",RB,"31    ","9 1/2"
"Jeremy Hill",RB,"32 5/8","10 3/8"
"Jeremy Langford",RB,"31 1/2","8 3/4"
"Jeremy McNichols",RB,"31 1/2","10    "
"Jerick McKinnon",RB,"30 1/4","8 5/8"
"Jerome Smith",RB,"30 7/8","9 3/4"
"Jewel Hampton",RB,"31    ","9 5/8"
