"Full Name",Position,"Draft Year",Weight,"40-Yard Dash","Broad Jump","Vertical Jump","Bench Press","3-Cone Drill","20-Yard Shuttle","Breakout Age","College Dominator Rating"
"Kyle Prater",WR,2015,"225 lbs",4.76,121,31.0,20,7.12,4.29,23.2,20.3%
"Kyle Williams",WR,2010,"186 lbs",4.43,118,33.0,11,7.00,4.19,21.1,39.3%
"L'Damian Washington",WR,2014,"195 lbs",4.46,115,32.0,8,7.19,4.35,21.3,31.1%
"LaRon Byrd",WR,2012,"220 lbs",4.50,125,35.0,15,7.07,4.10,-,9.7%
"LaVon Brazill",WR,2012,"192 lbs",4.48,118,32.5,11,7.08,4.37,20.5,34.8%
"Lamaar Thomas",WR,2013,"185 lbs",4.45,123,38.0,16,6.80,4.24,22.4,20.6%
"Lamont Bryant",WR,2012,"229 lbs",4.44,128,43.0,19,6.78,4.38,23.7,20.2%
"Lance Lenoir",WR,2017,"199 lbs",4.70,107,33.0,13,6.87,4.39,18.6,36.2%
"Lance Moore",WR,2006,"190 lbs",4.57,117,40.0,-,7.12,4.32,20.0,33.4%
"Laquon Treadwell",WR,2016,"221 lbs",4.68,117,33.0,12,7.05,4.25,19.2,29.0%
"Larry Fitzgerald",WR,2004,"218 lbs",4.53,-,35.5,-,-,-,19.0,51.3%
"Larry Pinkard",WR,2015,"196 lbs",4.56,128,36.5,18,7.15,4.31,20.5,24.0%
"Lavelle Hawkins",WR,2008,"194 lbs",4.57,117,33.5,14,6.95,4.24,20.2,28.0%
"Lee Doss",WR,2014,"178 lbs",4.59,122,36.0,11,6.95,4.31,21.4,34.7%
"Lemar Durant",WR,2015,"231 lbs",4.64,119,36.0,27,7.35,4.60,20.0,36.0%
"Leonard Hankerson",WR,2011,"209 lbs",4.43,117,36.0,14,6.94,4.21,20.6,49.6%
"Leonte Carroo",WR,2016,"211 lbs",4.50,120,35.5,14,-,-,19.6,63.9%
"Lestar Jean",WR,2011,"215 lbs",4.65,113,37.5,14,7.45,4.43,22.6,43.3%
"Levern Jacobs",WR,2017,"182 lbs",4.50,135,39.0,13,6.85,4.07,22.7,20.2%
"Levi Norwood",WR,2015,"195 lbs",4.64,123,34.5,-,6.78,4.19,-,12.6%
"Lil'Jordan Humphrey",WR,2019,"210 lbs",4.75,119,33.5,13,7.09,4.29,20.4,32.3%
"Linell Bonner",WR,2018,"200 lbs",4.81,115,33.5,16,6.97,4.33,21.4,32.5%
"Louis Murphy",WR,2009,"200 lbs",4.43,117,34.5,12,6.87,4.02,21.3,21.5%
"Lucky Whitehead",WR,2015,"163 lbs",4.44,121,36.0,20,6.89,4.18,22.3,31.4%
"Mack Hollins",WR,2017,"221 lbs",4.53,-,-,-,-,-,21.0,22.4%
"Malachi Dupre",WR,2017,"196 lbs",4.52,135,39.5,11,7.19,4.26,18.9,32.3%
"Malcolm Lewis",WR,2017,"193 lbs",4.63,115,31.5,14,7.23,4.59,-,5.3%
"Malcolm Mitchell",WR,2016,"198 lbs",4.45,129,36.0,15,6.94,4.34,22.1,35.8%
"Malcolm Williams",WR,2019,-,-,-,-,-,-,-,20.6,33.4%
"Malcom Floyd",WR,2004,"225 lbs",4.55,-,38.0,-,6.66,4.18,20.0,26.3%
"Malcome Kennedy",WR,2015,"205 lbs",4.67,119,31.5,10,7.10,4.26,22.4,15.4%
"Malik Turner",WR,2018,"202 lbs",-,-,-,17,-,-,20.6,26.5%
"MarQuez North",WR,2016,"223 lbs",4.48,123,35.0,17,6.90,4.13,-,10.3%
"Marcell Ateman",WR,2018,"216 lbs",4.62,121,34.0,13,7.07,4.25,23.0,22.2%
"Marcus Beaurem",WR,2015,"185 lbs",4.45,113,35.0,12,6.85,4.33,19.6,31.4%
"Marcus Harris",WR,2011,"187 lbs",4.55,124,33.0,9,6.68,4.16,19.5,35.8%
"Marcus Johnson",WR,2016,"204 lbs",4.44,135,37.0,22,7.26,4.39,-,12.6%
"Marcus Kemp",WR,2017,"200 lbs",4.59,126,35.5,10,7.10,4.36,19.1,33.3%
"Marcus Tucker",WR,2016,"192 lbs",4.60,122,34.5,13,7.14,4.33,21.2,31.3%
"Mario Alford",WR,2015,"180 lbs",4.43,121,34.0,13,6.64,4.07,20.5,32.6%
"Mario Manningham",WR,2008,"185 lbs",4.59,117,32.0,16,7.34,4.27,19.3,47.9%
"Marken Michel",WR,2016,"193 lbs",4.62,125,35.5,25,7.17,4.29,-,17.1%
"Markus Wheaton",WR,2013,"189 lbs",4.45,120,37.0,20,6.80,4.02,19.6,36.0%
"Marlon Brown",WR,2013,"213 lbs",4.65,-,-,10,-,-,21.4,20.2%
"Marqise Lee",WR,2014,"192 lbs",4.52,127,38.0,11,6.96,4.01,19.8,34.5%
"Marques Colston",WR,2006,"225 lbs",4.50,123,37.0,16,6.96,4.44,19.3,34.6%
"Marquess Wilson",WR,2013,"184 lbs",4.51,122,34.5,7,6.65,4.33,18.0,32.0%
"Marquez Valdes-Scantling",WR,2018,"206 lbs",4.37,124,30.5,15,6.85,4.17,22.9,26.7%
"Marquis Bundy",WR,2016,"212 lbs",4.54,118,32.0,15,7.12,4.39,19.1,11.9%
"Marquise Brown",WR,2019,"166 lbs",-,-,-,-,-,-,21.3,26.2%
"Marquise Goodwin",WR,2013,"183 lbs",4.27,132,40.0,13,6.66,4.09,-,13.6%
"Martavis Bryant",WR,2014,"211 lbs",4.42,124,39.0,16,7.18,4.15,-,18.5%
"Marvin Hall",WR,2016,"192 lbs",4.45,125,40.0,15,6.86,4.24,-,6.3%
"Marvin Jones",WR,2012,"200 lbs",4.46,112,33.0,22,6.81,4.11,19.5,26.3%
"Marvin McNutt",WR,2012,"216 lbs",4.54,122,37.0,-,7.15,4.07,20.2,45.5%
"Matt Hazel",WR,2014,"198 lbs",4.50,118,36.5,15,7.08,4.20,19.6,28.6%
"Matt Miller",WR,2015,"222 lbs",4.83,114,34.0,9,7.12,4.43,22.4,24.3%
"Matthew Slater",WR,2008,"195 lbs",4.45,-,-,-,-,-,-,-
"Maurice Harris",WR,2016,"195 lbs",4.61,-,-,-,6.95,4.35,-,12.5%
"Max McCaffrey",WR,2016,"190 lbs",4.51,122,36.5,9,7.09,4.15,21.3,23.9%
"Mecole Hardman",WR,2019,"187 lbs",4.33,119,36.5,17,-,-,-,18.7%
"Mekale McKay",WR,2016,"207 lbs",4.55,123,35.0,12,7.08,4.63,21.1,15.1%
"Micah Hatfield",WR,2014,"182 lbs",4.49,121,38.0,11,6.50,4.04,-,3.7%
"Michael Campanaro",WR,2014,"192 lbs",4.46,122,39.0,20,6.77,4.01,20.6,59.5%
"Michael Clark",WR,2017,"217 lbs",4.58,126,33.0,17,7.54,4.31,-,19.8%
"Michael Crabtree",WR,2009,"214 lbs",4.59,122,34.0,-,6.87,4.06,20.0,34.3%
"Michael Floyd",WR,2012,"220 lbs",4.47,122,36.5,16,7.11,4.37,18.8,39.4%
"Michael Gallup",WR,2018,"205 lbs",4.51,122,36.0,10,6.95,4.37,20.5,37.4%
"Michael Preston",WR,2011,"206 lbs",4.65,120,35.0,13,6.83,4.13,20.3,43.9%
"Michael Rector",WR,2017,"193 lbs",4.42,129,36.5,13,6.77,4.19,19.7,20.8%
"Michael Thomas",WR,2016,"212 lbs",4.57,126,35.0,18,6.80,4.13,21.5,39.6%
"Mike A. Thomas",WR,2009,"198 lbs",4.40,126,40.5,16,6.65,4.28,18.3,27.5%
"Mike A. Williams",WR,2010,"212 lbs",4.53,118,36.5,8,6.90,4.31,19.3,38.5%
"Mike Brown",WR,2012,"205 lbs",4.74,116,30.5,17,6.96,4.25,20.6,23.4%
"Mike Davis",WR,2014,"197 lbs",4.55,117,32.5,-,7.11,4.39,18.3,39.0%
"Mike Evans",WR,2014,"231 lbs",4.53,123,37.0,12,7.08,4.26,19.0,30.2%
"Mike Thomas",WR,2016,"200 lbs",4.59,126,36.0,16,7.06,4.26,20.1,35.1%
"Mike Wallace",WR,2009,"199 lbs",4.33,129,40.0,14,6.90,4.27,20.1,29.6%
"Mike Williams",WR,2017,"218 lbs",4.59,121,32.5,15,-,-,19.9,27.0%
"Miles Austin",WR,2006,"217 lbs",4.47,123,40.5,21,7.09,4.14,18.2,48.0%
"Miles Boykin",WR,2019,"220 lbs",4.42,140,43.5,12,6.77,4.07,21.9,30.1%
"Milton Williams",WR,2015,"200 lbs",4.74,120,37.5,10,6.91,4.45,19.5,50.0%
"Mitch Mathews",WR,2016,"222 lbs",4.54,129,36.0,12,6.99,4.25,21.4,30.7%
"Mohamed Sanu",WR,2012,"211 lbs",4.67,126,36.0,19,6.88,4.22,20.0,35.9%
"Montay Crockett",WR,2017,"190 lbs",4.44,131,38.0,18,6.82,4.25,-,14.2%
"Mose Frazier",WR,2016,"196 lbs",4.60,125,37.0,15,-,-,-,16.6%
"Myles White",WR,2013,"182 lbs",4.42,121,37.5,11,6.90,4.15,-,17.9%
"N'Keal Harry",WR,2019,"228 lbs",4.53,122,38.5,27,-,-,18.7,43.9%
"Nate Burleson",WR,2003,"198 lbs",4.51,126,42.5,-,6.96,4.16,19.0,45.1%
"Nate Cole",WR,2017,"199 lbs",4.98,109,33.5,11,7.31,4.60,-,19.0%
"Nate Washington",WR,2005,"183 lbs",4.60,-,-,-,-,-,19.0,71.8%
"Nathan Palmer",WR,2012,"198 lbs",4.39,125,37.0,13,6.92,4.25,21.4,23.0%
"Nathan Slaughter",WR,2014,"184 lbs",4.39,138,44.5,16,7.18,4.18,-,14.7%
"Nelson Agholor",WR,2015,"198 lbs",4.42,125,36.5,12,6.83,4.34,20.3,32.4%
"Nelson Spruce",WR,2016,"206 lbs",4.69,114,35.0,12,7.09,4.20,19.8,38.2%
"Nicholas Norris",WR,2017,"160 lbs",4.54,125,37.0,8,7.03,4.14,-,29.5%
"Nick Harwell",WR,2015,"193 lbs",4.45,123,34.5,9,6.65,4.22,19.6,33.1%
"Nick Kurtz",WR,2017,"218 lbs",4.73,117,34.0,7,7.05,4.39,-,17.2%
"Nick Toon",WR,2012,"215 lbs",4.49,130,37.5,18,-,-,20.8,31.2%
"Nick Williams",WR,2013,"183 lbs",4.64,114,37.0,-,6.79,4.11,-,9.1%
"Nigel King",WR,2015,"210 lbs",4.62,128,39.5,15,6.58,4.38,-,16.3%
"Noah Brown",WR,2017,"222 lbs",4.64,-,-,19,7.07,4.33,20.7,22.4%
"Noel Grigsby",WR,2014,"175 lbs",4.74,121,37.5,13,7.00,4.34,18.9,16.1%
"Noel Thomas",WR,2017,"205 lbs",4.54,118,32.5,9,-,-,20.0,43.0%
"Nyqwan Murray",WR,2019,"191 lbs",4.63,113,34.0,8,7.20,4.40,20.1,21.0%
"Odell Beckham",WR,2014,"198 lbs",4.43,122,38.5,7,6.69,3.94,19.8,34.5%
"Olabisi Johnson",WR,2019,"204 lbs",4.51,124,38.0,14,6.88,4.16,21.5,20.3%
"Olamide Zaccheaus",WR,2019,-,-,-,-,-,-,-,-,36.5%
"Papi White",WR,2019,-,-,-,-,-,-,-,20.1,36.2%
"Parris Campbell",WR,2019,"205 lbs",4.31,135,40.0,11,-,4.03,20.1,23.5%
"Patrick Edwards",WR,2012,"175 lbs",4.62,118,33.5,5,7.12,4.20,21.9,32.8%
"Paul McRoberts",WR,2016,"202 lbs",4.74,125,35.5,8,7.28,4.42,19.8,62.3%
"Paul Richardson",WR,2014,"175 lbs",4.40,124,38.0,10,6.98,4.23,18.4,46.3%
"Paul Turner",WR,2016,"193 lbs",4.60,130,39.0,18,7.25,4.31,-,15.9%
"Penny Hart",WR,2019,-,-,-,-,-,-,-,19.2,32.0%
"Percy Harvin",WR,2009,"184 lbs",4.41,121,37.5,19,-,-,19.3,21.4%
"Pharoh Cooper",WR,2016,"203 lbs",4.70,118,30.5,19,7.15,4.26,19.5,43.1%
"Phil Bates",WR,2012,"220 lbs",4.53,128,40.5,19,6.87,4.39,-,-
"Phil Mayhue",WR,2018,"211 lbs",4.67,117,34.5,11,7.11,4.39,-,12.1%
"Phillip Dorsett",WR,2015,"185 lbs",4.33,122,37.0,13,6.70,4.11,19.7,32.6%
"Pierre Garcon",WR,2008,"210 lbs",4.48,125,36.5,20,6.90,4.19,19.1,37.7%
"Pig Howard",WR,2016,"184 lbs",4.65,117,32.5,11,6.92,4.29,20.5,12.2%
"Preston Parker",WR,2010,"200 lbs",4.65,117,35.0,16,6.92,4.16,20.6,18.7%
"Preston Williams",WR,2019,-,-,-,-,-,-,-,21.4,45.3%
"Quadree Henderson",WR,2018,"190 lbs",4.50,120,32.5,12,6.89,4.28,-,5.2%
"Quan Bray",WR,2015,"194 lbs",4.55,116,34.0,12,6.87,4.28,21.4,16.6%
"Quenton Bundrage",WR,2016,"206 lbs",4.59,123,37.5,17,7.07,4.64,22.0,35.5%
"Quincy Adeboyejo",WR,2017,"197 lbs",4.42,123,34.5,8,6.73,4.14,-,13.1%
"Quincy Enunwa",WR,2014,"225 lbs",4.45,-,-,19,-,-,21.3,41.7%
"Quinshad Davis",WR,2016,"218 lbs",4.74,113,31.5,17,7.07,4.35,19.3,21.6%
"Quinton Patton",WR,2013,"204 lbs",4.53,118,33.0,8,6.91,4.01,21.1,40.6%
"Quron Pratt",WR,2014,"195 lbs",4.55,128,34.5,14,6.85,4.19,-,9.0%
"R.J. Harris",WR,2015,"200 lbs",4.57,127,37.5,18,7.23,4.20,19.3,47.4%
"R.J. Shelton",WR,2017,"200 lbs",4.69,109,32.0,17,6.91,4.23,22.3,27.9%
"Ramses Barden",WR,2009,"224 lbs",4.68,118,33.5,17,6.97,4.26,19.7,70.7%
"Randall Cobb",WR,2011,"192 lbs",4.46,115,33.5,16,7.08,4.34,20.0,28.2%
"Rannell Hall",WR,2015,"198 lbs",4.60,132,41.0,16,6.86,4.15,19.6,13.8%
"Rashad Greene",WR,2015,"182 lbs",4.53,122,36.5,-,6.88,4.12,20.0,29.5%
"Rashad Ross",WR,2013,"175 lbs",4.41,115,35.0,12,7.19,4.37,-,18.7%
"Rashard Davis",WR,2017,"173 lbs",4.52,121,35.5,9,6.90,4.05,20.7,17.1%
"Rashard Higgins",WR,2016,"196 lbs",4.64,116,32.0,13,7.13,4.53,18.9,43.6%
"Rashawn Scott",WR,2016,"199 lbs",4.59,116,32.5,17,6.88,4.33,23.6,23.5%
"Rasheed Bailey",WR,2015,"205 lbs",4.62,118,34.0,14,6.90,4.40,20.1,57.0%
"Ray-Ray McCloud",WR,2018,"190 lbs",4.53,113,34.5,13,6.89,4.32,-,10.6%
"Reggie Davis",WR,2017,"158 lbs",4.41,115,32.0,4,6.94,4.12,-,4.9%
"Reggie Diggs",WR,2016,"214 lbs",4.69,132,38.5,12,7.08,4.29,21.3,25.8%
"Reggie Wayne",WR,2001,"198 lbs",4.45,121,36.0,-,-,-,18.8,32.1%
"Reggie White",WR,2019,-,-,-,-,-,-,-,-,50.5%
"Ricardo Lockette",WR,2011,"211 lbs",4.37,127,35.5,22,7.15,4.19,-,-
"Ricardo Louis",WR,2016,"215 lbs",4.43,132,38.0,18,7.07,4.32,21.5,31.6%
"Richard Mullaney",WR,2016,"204 lbs",4.81,111,30.0,12,7.16,4.39,-,17.1%
"Richie James",WR,2018,"185 lbs",4.48,122,35.5,6,6.87,4.16,20.0,22.8%
"Ricky Collins",WR,2015,"200 lbs",4.58,119,36.0,-,7.43,4.39,22.5,28.8%
"Ricky Jeune",WR,2018,"213 lbs",4.61,119,36.0,15,6.96,4.39,21.8,59.4%
"Rico Gafford",WR,2018,"184 lbs",4.27,122,36.5,10,-,4.46,-,-
"Rico Richardson",WR,2013,"185 lbs",4.43,121,35.5,12,6.77,4.12,20.2,30.8%
"Riley Cooper",WR,2010,"222 lbs",4.53,114,33.0,-,6.73,4.15,22.0,30.6%
"Riley McCarron",WR,2017,"188 lbs",4.46,124,40.5,-,6.59,4.16,23.2,24.7%
"Riley Ridley",WR,2019,"199 lbs",4.58,124,30.5,13,7.22,4.28,22.1,22.2%
"Rishard Matthews",WR,2012,"210 lbs",4.62,123,36.0,20,6.88,4.19,20.9,44.1%
"River Cracraft",WR,2017,"193 lbs",-,-,-,15,-,-,19.8,19.3%
"Robby Anderson",WR,2016,"190 lbs",4.41,128,36.5,8,7.07,4.27,20.3,34.8%
"Robert Davis",WR,2017,"219 lbs",4.44,136,41.0,10,6.82,4.28,18.4,31.1%
"Robert Foster",WR,2018,"196 lbs",4.41,116,31.0,-,6.90,4.20,-,4.3%
"Robert Herron",WR,2014,"193 lbs",4.48,125,35.5,18,6.84,4.27,20.3,31.4%
"Robert Meachem",WR,2007,"215 lbs",4.39,121,37.5,-,6.97,4.31,21.9,41.8%
"Robert Wheelwright",WR,2017,"205 lbs",4.65,128,38.0,15,6.68,4.14,20.7,24.6%
"Robert Woods",WR,2013,"201 lbs",4.51,117,33.5,14,7.15,4.47,18.4,31.6%
"Rod Streater",WR,2012,"200 lbs",4.51,133,37.5,18,7.06,4.07,22.6,33.3%
"Roddy White",WR,2005,"208 lbs",4.50,126,41.0,18,7.12,4.01,20.8,50.5%
"Rodney Adams",WR,2017,"189 lbs",4.44,125,29.5,8,6.98,4.28,21.0,28.6%
"Rodney Smith",WR,2013,"219 lbs",4.51,120,34.5,-,7.03,4.07,-,14.9%
"Roger Lewis",WR,2016,"201 lbs",4.57,116,33.5,8,7.58,4.45,20.8,33.8%
"Ron'Quavion Tarver",WR,2019,-,-,-,-,-,-,-,-,25.9%
"Ross Apo",WR,2015,"210 lbs",4.61,134,36.5,12,6.99,4.27,20.9,23.2%
"Rudy Rudolph",WR,2015,"170 lbs",4.56,104,30.0,-,7.06,4.46,18.2,45.1%
"Rueben Randle",WR,2012,"208 lbs",4.55,121,31.0,15,6.99,4.36,19.3,40.5%
"Russell Gage",WR,2018,"186 lbs",4.55,122,39.0,15,7.03,4.25,-,14.2%
"Russell Shepard",WR,2013,"195 lbs",4.51,122,38.5,8,7.09,4.37,-,10.7%
"Ryan Broyles",WR,2012,"188 lbs",4.57,117,32.5,21,-,-,21.4,42.9%
"Ryan Davis",WR,2019,"189 lbs",-,124,35.0,12,7.09,4.23,-,12.5%
"Ryan Grant",WR,2014,"191 lbs",4.64,119,35.5,8,6.68,4.11,21.7,45.3%
"Ryan Spadola",WR,2013,"204 lbs",4.48,119,33.5,15,6.72,4.07,19.6,31.3%
"Ryan Switzer",WR,2017,"181 lbs",4.51,116,32.0,11,6.77,4.00,21.8,24.6%
"Ryan Whalen",WR,2011,"202 lbs",4.62,123,38.5,18,6.67,4.09,20.1,21.5%
"Saalim Hakim",WR,2012,"188 lbs",4.33,-,-,-,-,-,20.6,15.4%
"Saeed Blacknall",WR,2018,"208 lbs",4.42,127,32.5,24,6.77,4.19,-,11.2%
"Sam Mentkowski",WR,2018,"195 lbs",4.46,120,35.5,3,6.76,4.00,-,41.3%
"Sammie Coates",WR,2015,"212 lbs",4.43,131,41.0,23,6.98,4.06,20.4,29.5%
"Sammy Watkins",WR,2014,"211 lbs",4.43,126,34.0,16,6.95,4.34,18.2,34.2%
"Santana Moss",WR,2001,"200 lbs",4.31,127,42.0,-,-,-,19.3,24.8%
"Santonio Holmes",WR,2006,"192 lbs",4.40,126,38.0,-,6.82,4.26,21.5,48.6%
"Scott Miller",WR,2019,-,-,-,-,-,-,-,19.1,41.5%
"Seantavius Jones",WR,2014,"208 lbs",4.58,125,38.5,14,6.96,4.32,20.1,42.6%
"Seth Roberts",WR,2014,"196 lbs",4.46,117,34.0,9,6.77,4.41,22.5,35.6%
"Seyi Ajirotutu",WR,2010,"211 lbs",4.60,115,36.0,14,7.22,4.39,21.2,29.7%
"Shane Wynn",WR,2015,"157 lbs",4.34,120,36.0,13,6.89,4.25,21.8,42.3%
"Shaq Evans",WR,2014,"213 lbs",4.51,122,34.5,13,7.07,4.21,21.5,29.6%
"Shaq Hill",WR,2017,"193 lbs",4.53,124,35.5,21,-,-,23.3,26.0%
"Shawn Poindexter",WR,2019,-,-,-,-,-,-,-,22.7,31.5%
"Shay Fields",WR,2018,"187 lbs",4.51,123,35.5,13,6.97,4.14,19.2,27.2%
"Shelton Gibson",WR,2017,"191 lbs",4.50,118,32.0,8,6.83,4.20,21.5,31.5%
"Shun Brown",WR,2019,-,-,-,-,-,-,-,-,24.5%
"Sidney Rice",WR,2007,"202 lbs",4.51,119,39.5,14,7.09,4.34,19.0,47.0%
"Simmie Cobbs",WR,2018,"220 lbs",4.64,113,30.0,11,6.70,4.32,19.9,29.2%
"Skye Dawson",WR,2013,"160 lbs",4.44,118,35.5,-,6.90,4.26,-,14.1%
"Solomon Patton",WR,2014,"179 lbs",4.43,120,33.0,16,7.02,4.13,22.9,40.8%
"Speedy Noil",WR,2017,"199 lbs",4.50,133,43.5,18,-,-,-,13.2%
"Stacy Coley",WR,2017,"195 lbs",4.45,122,34.0,10,7.15,4.40,18.3,27.2%
"Stanley Morgan",WR,2019,"202 lbs",4.53,125,38.5,14,6.78,4.13,21.0,37.5%
"Stedman Bailey",WR,2013,"193 lbs",4.52,117,34.5,11,6.81,4.09,20.8,47.4%
"Stefon Diggs",WR,2015,"195 lbs",4.46,115,35.0,11,7.03,4.32,18.6,36.1%
"Stephen Hill",WR,2012,"215 lbs",4.36,133,39.5,14,6.88,4.48,19.4,44.9%
"Sterling Shepard",WR,2016,"194 lbs",4.48,123,41.0,20,7.00,4.35,20.6,33.2%
"Steve Ishmael",WR,2018,"212 lbs",4.64,120,32.5,16,6.84,4.38,19.2,36.5%
"Steve Johnson",WR,2008,"202 lbs",4.58,121,32.5,-,7.07,4.26,21.1,30.3%
"Steve Smith",WR,2001,"185 lbs",4.41,120,38.0,-,6.68,4.19,20.3,31.0%
"Steven Dunbar",WR,2018,"205 lbs",4.83,120,36.0,9,7.03,4.45,21.7,26.4%
"Steven Mitchell",WR,2018,"189 lbs",4.56,121,32.5,13,6.75,4.40,-,17.9%
"T.J. Graham",WR,2012,"180 lbs",4.41,120,33.5,8,6.77,4.18,22.1,23.1%
"T.J. Jones",WR,2014,"188 lbs",4.48,119,33.0,13,6.82,4.27,21.1,33.4%
"T.J. Moe",WR,2013,"200 lbs",4.74,120,36.0,26,6.53,3.96,19.9,22.2%
"T.Y. Hilton",WR,2012,"183 lbs",4.39,119,35.5,7,7.03,4.36,18.8,41.9%
"Tajae Sharpe",WR,2016,"194 lbs",4.55,114,33.5,11,-,-,18.7,37.8%
"Tandon Doss",WR,2011,"207 lbs",4.67,116,33.5,14,6.91,4.22,20.0,28.9%
"Tanner Gentry",WR,2017,"208 lbs",4.63,123,38.0,19,7.29,4.43,20.7,44.8%
"Tanner McEvoy",WR,2016,"222 lbs",4.62,117,33.5,17,7.00,4.29,-,1.8%
"Tavares Martin",WR,2018,"185 lbs",4.80,-,31.5,-,-,-,20.6,24.7%
"Tavarres King",WR,2013,"189 lbs",4.47,123,36.5,11,6.91,4.33,21.1,24.1%
"Taylor Gabriel",WR,2014,"167 lbs",4.45,125,40.0,17,6.84,4.21,20.6,28.7%
"Taylor Price",WR,2010,"212 lbs",4.41,114,37.0,16,6.82,4.34,19.9,25.1%
"Taywan Taylor",WR,2017,"203 lbs",4.50,132,33.5,13,6.57,4.21,20.5,38.6%
"Ted Ginn",WR,2007,"180 lbs",4.43,-,34.5,-,-,-,20.4,28.5%
"Tello Luckett",WR,2015,"211 lbs",4.65,118,34.0,17,7.51,4.50,21.6,49.8%
"Teo Redding",WR,2018,"181 lbs",4.51,132,38.5,10,6.85,4.22,22.7,32.8%
"Terrance Williams",WR,2013,"208 lbs",4.52,119,32.5,11,7.01,4.32,22.0,38.3%
"Terrelle Pryor",WR,2011,"233 lbs",4.41,124,31.0,-,7.20,4.30,-,-
"Terren Encalade",WR,2019,-,-,-,-,-,-,-,-,39.8%
"Terrence Toliver",WR,2011,"204 lbs",4.59,122,32.0,-,6.48,4.03,21.3,39.3%
"Terry Godwin",WR,2019,"184 lbs",4.55,117,36.5,-,6.96,-,20.9,17.8%
"Terry McLaurin",WR,2019,"208 lbs",4.35,125,37.5,18,7.01,4.15,-,17.7%
"Terry Wright",WR,2019,-,-,-,-,-,-,-,-,14.8%
"Tevaun Smith",WR,2016,"205 lbs",4.46,122,38.0,13,6.68,4.27,22.6,20.1%
"Tevin Jones",WR,2016,"217 lbs",4.53,125,36.5,18,6.88,4.18,-,12.2%
"Tevin Reese",WR,2014,"163 lbs",4.46,132,41.0,13,6.63,4.18,21.7,28.3%
"Thomas Owens",WR,2018,"201 lbs",4.83,116,33.5,14,7.14,4.37,-,42.2%
"Thomas Sperbeck",WR,2017,"187 lbs",4.64,113,32.0,10,6.71,4.05,20.9,33.3%
"Tim Benford",WR,2012,"200 lbs",4.51,121,33.0,15,7.30,4.35,19.0,59.1%
"Tim Patrick",WR,2017,"208 lbs",4.52,128,37.5,22,6.99,4.38,22.8,38.1%
"Tim White",WR,2017,"175 lbs",4.56,130,38.5,14,7.11,4.44,21.1,19.6%
"Tiquan Underwood",WR,2009,"175 lbs",4.41,129,41.5,7,6.62,4.11,19.6,25.3%
"Titus Davis",WR,2015,"196 lbs",4.51,119,32.5,12,7.14,4.28,18.7,49.1%
"Tommy Streeter",WR,2012,"220 lbs",4.40,125,33.0,17,7.08,4.36,22.9,33.6%
"Tommylee Lewis",WR,2016,"170 lbs",4.53,120,34.0,11,7.13,4.22,19.9,19.3%
"Toney Clemons",WR,2012,"210 lbs",4.45,128,36.0,11,6.93,4.33,22.9,33.2%
"Tony Pierson",WR,2015,"175 lbs",4.48,134,37.0,9,6.89,4.35,-,7.7%
"Tony Stevens",WR,2017,"212 lbs",4.54,126,34.5,12,7.15,4.34,21.5,27.8%
"Tony Washington",WR,2014,"195 lbs",4.55,125,38.5,21,6.98,4.45,22.9,26.9%
"Tori Gurley",WR,2011,"232 lbs",4.53,118,33.5,15,7.05,4.25,-,16.0%
"Torrence Allen",WR,2014,"183 lbs",4.46,129,40.0,15,7.14,4.56,21.4,26.3%
"Torrey Smith",WR,2011,"205 lbs",4.43,126,41.0,19,6.72,4.13,20.6,41.1%
"Traveon Samuel",WR,2019,-,-,-,-,-,-,-,-,2.9%
"Travin Dural",WR,2017,"202 lbs",4.57,116,30.5,-,7.29,4.55,20.8,24.9%
"Travis Benjamin",WR,2012,"175 lbs",4.36,119,38.0,14,6.96,4.17,-,19.0%
"Travis Fulgham",WR,2019,"215 lbs",4.58,126,36.5,15,-,-,-,36.0%
"Travis Labhart",WR,2014,"180 lbs",4.72,120,35.5,9,6.71,4.28,-,19.1%
"Travis Rudolph",WR,2017,"189 lbs",4.65,114,31.5,12,6.93,4.46,20.0,28.6%
"Tre McBride",WR,2015,"210 lbs",4.41,122,38.0,16,6.96,4.08,19.8,37.8%
"Tre'Quan Smith",WR,2018,"210 lbs",4.49,130,37.5,12,6.97,4.50,19.2,33.0%
"Trent Bostick",WR,2018,"202 lbs",4.62,118,39.5,-,7.12,4.34,18.5,25.8%
"Trent Sherfield",WR,2018,"203 lbs",4.50,125,32.5,19,6.90,4.20,19.5,25.7%
"Trent Taylor",WR,2017,"181 lbs",4.63,117,33.0,13,6.74,4.01,20.4,31.7%
"Trenton Irwin",WR,2019,-,-,-,-,-,-,-,-,14.2%
"Trevon Brown",WR,2019,-,-,-,-,-,-,-,-,41.4%
"Trevor Davis",WR,2016,"188 lbs",4.42,124,38.5,11,6.60,4.22,19.2,14.7%
"Trevor Harman",WR,2015,"205 lbs",4.67,117,31.0,19,6.77,4.21,19.9,42.5%
"Trey Griffey",WR,2017,"209 lbs",4.64,118,32.5,17,7.32,4.50,-,16.6%
"Trey Quinn",WR,2018,"203 lbs",4.55,116,33.5,17,6.91,4.19,21.8,34.7%
"Trindon Holliday",WR,2010,"159 lbs",4.34,116,42.0,10,6.54,4.48,-,0.8%
