"Full Name",Position,"Draft Year",Weight,"40-Yard Dash","Broad Jump","Vertical Jump","Bench Press","3-Cone Drill","20-Yard Shuttle","Breakout Age","College Dominator Rating"
"Chad Williams",WR,2017,"207 lbs",4.45,123,38.5,26,7.06,4.15,20.9,37.4%
"Chance Allen",WR,2017,"207 lbs",4.93,116,32.0,7,7.45,4.64,21.7,25.0%
"Chandler Jones",WR,2014,"174 lbs",4.39,117,33.5,13,6.78,4.37,20.8,37.9%
"Charles Johnson",WR,2013,"215 lbs",4.44,133,39.5,14,6.96,4.31,22.5,49.8%
"Charone Peake",WR,2016,"209 lbs",4.45,122,35.5,12,6.96,4.46,-,15.3%
"Chase Claypool",WR,2019,-,-,-,-,-,-,-,-,18.7%
"Chester Rogers",WR,2016,"185 lbs",4.56,120,36.0,15,6.85,4.07,19.6,24.1%
"Chris Boyd",WR,2014,"206 lbs",4.65,116,33.5,12,-,-,19.7,32.7%
"Chris Brown",WR,2016,"194 lbs",4.55,130,33.5,14,7.37,4.41,-,16.9%
"Chris Conley",WR,2015,"213 lbs",4.35,139,45.0,18,7.06,4.30,20.9,29.3%
"Chris D. Harper",WR,2013,"229 lbs",4.55,116,35.5,20,6.89,4.26,21.0,29.2%
"Chris Fields",WR,2014,"198 lbs",4.63,125,34.5,14,7.03,4.26,-,18.6%
"Chris Givens",WR,2012,"198 lbs",4.41,118,33.5,19,6.97,4.23,20.6,40.7%
"Chris Godwin",WR,2017,"209 lbs",4.42,126,36.0,19,7.01,4.00,19.5,34.9%
"Chris Harper",WR,2015,"180 lbs",4.58,120,35.0,11,7.03,4.36,-,15.8%
"Chris Hogan",WR,2012,"220 lbs",4.55,126,35.5,28,6.75,4.15,-,15.6%
"Chris Lacy",WR,2018,"205 lbs",4.51,120,33.5,11,7.29,4.60,-,7.4%
"Chris Matthews",WR,2011,"218 lbs",4.62,118,33.5,14,6.90,4.29,19.9,30.5%
"Chris Moore",WR,2016,"206 lbs",4.53,130,37.0,10,6.76,4.20,20.2,23.7%
"Chris Owusu",WR,2012,"200 lbs",4.36,129,40.5,19,6.85,4.11,19.7,21.1%
"Chris Summers",WR,2012,"213 lbs",4.62,121,31.0,-,7.37,4.48,20.2,33.7%
"Chris Thompson",WR,2017,"171 lbs",4.53,121,34.5,6,7.00,4.25,-,0.9%
"Chris Williams",WR,2009,"175 lbs",4.33,127,39.0,13,6.84,4.15,19.0,38.8%
"Christian Blake",WR,2018,"179 lbs",4.56,126,34.5,9,6.83,4.40,-,16.5%
"Christian Kirk",WR,2018,"201 lbs",4.47,115,35.5,20,7.09,4.45,18.8,36.8%
"Christion Jones",WR,2015,"182 lbs",4.63,119,32.5,8,6.91,4.19,19.7,5.0%
"Chuck Jacobs",WR,2013,"178 lbs",4.55,124,36.0,10,6.88,4.06,-,18.1%
"Clyde Gates",WR,2011,"190 lbs",4.37,131,40.0,16,6.87,4.17,23.2,32.2%
"Cobi Hamilton",WR,2013,"212 lbs",4.56,107,29.5,11,7.09,4.31,21.8,29.3%
"Cody Core",WR,2016,"205 lbs",4.47,119,31.5,14,6.75,4.40,20.4,16.9%
"Cody Hoffman",WR,2014,"223 lbs",4.65,108,27.5,13,6.89,4.20,19.5,37.3%
"Cody Hollister",WR,2017,"214 lbs",-,-,-,24,-,-,-,3.7%
"Cody Latimer",WR,2014,"215 lbs",4.44,124,39.0,23,-,-,19.9,27.4%
"Cody Thompson",WR,2019,"205 lbs",4.57,119,38.5,19,6.87,4.03,19.7,26.6%
"Colby Pearson",WR,2017,"194 lbs",4.55,122,33.5,12,6.94,4.35,21.6,20.8%
"Cole Beasley",WR,2012,"177 lbs",4.54,126,38.0,17,7.16,4.40,21.4,22.4%
"Colin Lockett",WR,2014,"188 lbs",4.51,115,32.5,13,6.83,4.13,20.4,28.8%
"Collin Johnson",WR,2019,-,-,-,-,-,-,-,20.0,26.8%
"Cooper Kupp",WR,2017,"204 lbs",4.62,116,31.0,-,6.75,4.08,20.2,40.4%
"Cordarrelle Patterson",WR,2013,"216 lbs",4.42,128,37.0,-,7.28,4.40,-,17.4%
"Corey Brown",WR,2014,"178 lbs",4.51,116,33.0,13,7.16,4.22,21.6,26.7%
"Corey Coleman",WR,2016,"194 lbs",4.42,129,40.5,17,6.75,3.95,20.2,44.2%
"Corey Davis",WR,2017,"209 lbs",4.53,-,-,-,-,-,18.7,51.6%
"Corey Fuller",WR,2013,"204 lbs",4.43,120,31.5,12,7.17,4.48,22.2,31.1%
"Corey Smith",WR,2017,"183 lbs",4.76,117,35.0,-,7.28,4.23,-,2.5%
