"Full Name",Position,"Arm Length","Height (Inches)",BMI,"Draft Pick","Draft Year","Hand Size"
"Elijah Wellman",RB,"30 1/8",73,31.8,Undrafted,2018,"8 7/8"
"Elijhaa Penny",RB,"30 1/4",73,32.2,Undrafted,2016,"9 1/8"
"Evan Royster",RB,"30 5/8",72,28.7,6.12,2011,"9 1/4"
"Ezekiel Elliott",RB,"31 1/4",72,30.5,1.04,2016,"10 1/4"
"Felix Jones",RB,"31 1/8",70,30.8,1.22,2008,"9 1/8"
"Fitzgerald Toussaint",RB,"30 1/2",70,29.4,Undrafted,2014,"8 1/2"
"Fozzy Whittaker",RB,"30 3/4",69,29.8,Undrafted,2012,"9 1/4"
"Frank Gore",RB,-,69,32.0,3.01,2005,-
"Fred Jackson",RB,-,73,28.4,Undrafted,2007,-
"George Atkinson III",RB,"33 1/4",73,28.8,Undrafted,2014,"9 3/8"
"George Farmer",RB,"33    ",73,27.0,Undrafted,2015,"8 5/8"
"George Winn",RB,"30 7/8",71,29.3,Undrafted,2013,"9 7/8"
"Giovani Bernard",RB,"28    ",68,30.7,2.05,2013,"9 3/8"
"Glasco Martin",RB,"32    ",72,29.4,Undrafted,2014,"9 1/2"
"Glenn Winston",RB,"31    ",74,28.2,Undrafted,2014,"10 3/8"
"Gus Edwards",RB,"32 5/8",73,30.2,Undrafted,2018,"9 1/8"
"Gus Johnson",RB,"29 5/8",70,30.8,Undrafted,2015,"9 1/8"
"Henry Josey",RB,"30 1/4",68,29.5,Undrafted,2014,"9 1/2"
"I'Tavius Mathers",RB,"31    ",71,28.3,Undrafted,2017,"9    "
"Isaiah Crowell",RB,"31 3/4",71,31.2,Undrafted,2014,"9 1/4"
"Isaiah Pead",RB,"31    ",70,28.3,2.18,2012,"8 5/8"
"Isaiah Saunders",RB,"30    ",69,32.0,Undrafted,2019,"8 7/8"
"Ito Smith",RB,"28 7/8",69,29.5,4.26,2018,"9 3/8"
"Izzy Matthews",RB,"29 5/8",72,28.7,Undrafted,2019,"9 5/8"
"J.D. McKissic",RB,"29    ",70,26.8,Undrafted,2016,"9 5/8"
"Jackie Battle",RB,"32 5/8",74,30.8,Undrafted,2007,"9 5/8"
"Jacques Patrick",RB,"32 1/2",74,29.0,Undrafted,2019,"9 7/8"
"Jacquizz Rodgers",RB,"30 3/8",66,31.6,5.14,2011,"8 3/4"
"Jahad Thomas",RB,"30 1/8",70,27.3,Undrafted,2017,"9    "
"Jahwan Edwards",RB,"31 5/8",69,32.5,Undrafted,2015,"8 7/8"
"Jalen Parmele",RB,"32 1/4",71,31.1,6.10,2008,"8 7/8"
"Jalen Rhodes",RB,"29 1/4",69,28.1,Undrafted,2019,"8 7/8"
"Jalen Richard",RB,"29 1/8",68,31.5,Undrafted,2016,"8 7/8"
"Jalen Simmons",RB,"29 5/8",68,33.4,Undrafted,2016,"8 1/8"
"Jalin Moore",RB,"32 3/8",70,30.4,Undrafted,2019,"9 1/4"
"Jalston Fowler",RB,"32 3/4",71,35.4,4.09,2015,"10 1/2"
"Jamaal Charles",RB,"31 5/8",71,27.8,3.10,2008,"9 1/8"
"Jamaal Williams",RB,"31 1/4",72,28.7,4.28,2017,"10    "
"Jamal Morrow",RB,"29 3/8",68,29.6,Undrafted,2018,"8 7/8"
"Jamauri Bogan",RB,"28 1/4",67,29.8,Undrafted,2019,"8 3/8"
"James Butler",RB,"29 5/8",68,31.8,Undrafted,2018,"8 3/4"
"James Conner",RB,"31 1/4",73,30.7,3.41,2017,"9 7/8"
"James Develin",RB,-,75,31.9,Undrafted,2010,-
"James Flanders",RB,"29 1/2",69,29.2,Undrafted,2017,"8    "
"James Starks",RB,"33 5/8",74,28.0,6.24,2010,"9 1/2"
"James Summers",RB,"30 7/8",73,28.8,Undrafted,2017,"9 3/8"
"James White",RB,"29 1/4",69,30.1,4.30,2014,"8 1/4"
"James Wilder Jr.",RB,"32    ",75,29.0,Undrafted,2014,"9 3/4"
"James Williams",RB,"30 3/8",69,29.1,Undrafted,2019,"9 1/4"
"Jamize Olawale",RB,-,73,31.4,Undrafted,2012,-
"Jarryd Hayne",RB,-,74,28.2,Undrafted,2015,-
"Jarveon Williams",RB,"30 1/8",69,30.3,Undrafted,2017,"9 1/2"
"Jarvion Franklin",RB,"31 1/4",72,32.4,Undrafted,2018,"9 1/4"
