"Full Name",Position,Team,"Height (Inches)",BMI,"Draft Year","Draft Pick","20-Yard Shuttle","3-Cone Drill","40-Yard Dash","Broad Jump","Bench Press"
"Colin Lockett",WR,-,71,26.2,2014,Undrafted,4.13,6.83,4.51,115,13
"Cooper Kupp",WR,"Los Angeles Rams",74,26.2,2017,3.05,4.08,6.75,4.62,116,-
"Cordarrelle Patterson",WR,"Chicago Bears",74,27.7,2013,1.29,4.40,7.28,4.42,128,-
"Corey Brown",WR,-,71,24.8,2014,Undrafted,4.22,7.16,4.51,116,13
"Corey Coleman",WR,"New York Giants",71,27.1,2016,1.15,3.95,6.75,4.42,129,17
"Corey Davis",WR,"Tennessee Titans",75,26.1,2017,1.05,-,-,4.53,-,-
"Corey Fuller",WR,-,74,26.2,2013,6.03,4.48,7.17,4.43,120,12
"Corey Smith",WR,-,72,24.8,2017,Undrafted,4.23,7.28,4.76,117,-
"Corey Washington",WR,-,76,26.0,2014,Undrafted,4.42,6.83,4.55,125,14
"Corey Willis",WR,-,70,26.1,2018,Undrafted,4.13,6.85,4.60,123,-
"Cortrelle Simpson",WR,"Tampa Bay Buccaneers",69,27.6,2019,Undrafted,4.13,6.90,4.57,128,18
"Courtland Sutton",WR,"Denver Broncos",75,27.2,2018,2.08,4.11,6.57,4.54,124,18
"Courtney Roby",WR,-,72,25.6,2005,3.04,3.94,6.60,4.36,126,-
"Curtis Samuel",WR,"Carolina Panthers",71,27.3,2017,2.08,4.33,7.09,4.31,119,18
"Cyril Grayson",WR,-,69,27.0,2017,Undrafted,-,-,4.38,127,-
"D.J. Chark",WR,"Jacksonville Jaguars",75,24.9,2018,2.29,-,-,4.34,129,16
"D.J. Coles",WR,-,75,28.1,2014,Undrafted,4.24,7.17,4.53,123,19
"D.J. Moore",WR,"Carolina Panthers",72,28.5,2018,1.24,4.07,6.95,4.42,132,15
"D.K. Metcalf",WR,"Seattle Seahawks",75,28.5,2019,2.32,4.50,7.38,4.33,134,27
"Da'Mari Scott",WR,"Buffalo Bills",72,27.8,2018,Undrafted,4.27,6.86,4.52,116,10
"Da'Rick Rogers",WR,-,74,27.9,2013,Undrafted,4.06,6.71,4.52,132,10
"Da'Ron Brown",WR,-,72,27.8,2015,7.16,4.11,7.04,4.54,120,17
"DaMarkus Lodge",WR,"Tampa Bay Buccaneers",74,25.9,2019,Undrafted,4.53,7.06,4.55,119,11
"DaVaris Daniels",WR,-,73,26.5,2015,Undrafted,4.32,6.81,4.62,122,13
"DaeSean Hamilton",WR,"Denver Broncos",73,26.8,2018,4.13,4.15,6.84,4.57,118,16
"Daikiel Shorts",WR,-,72,26.6,2017,Undrafted,4.29,7.15,4.65,124,16
"Damaris Johnson",WR,-,68,26.6,2012,Undrafted,4.20,6.80,4.57,113,13
"Damarr Aultman",WR,-,71,27.6,2015,Undrafted,3.94,6.65,4.53,128,20
"Damian Copeland",WR,-,71,25.7,2014,Undrafted,3.90,6.53,4.50,120,12
"Damian Williams",WR,-,73,26.3,2010,3.13,4.24,6.79,4.52,118,19
"Damiere Byrd",WR,"Arizona Cardinals",69,23.9,2015,Undrafted,4.09,6.59,4.32,131,13
"Damion Ratley",WR,"Cleveland Browns",74,25.2,2018,6.01,4.23,6.92,4.44,124,12
"Damion Willis",WR,-,75,25.5,2019,Undrafted,4.50,7.04,4.56,110,13
"Damond Powell",WR,-,71,24.8,2015,Undrafted,4.38,6.40,4.44,123,-
"Damore'ea Stringfellow",WR,-,74,28.0,2017,Undrafted,4.50,7.20,4.65,130,17
"Damoun Patterson",WR,"New England Patriots",72,26.0,2018,Undrafted,4.51,7.14,4.55,125,10
"Danario Alexander",WR,-,77,26.2,2010,Undrafted,-,-,4.62,-,-
"Dane Sanzenbacher",WR,-,71,25.1,2011,Undrafted,3.97,6.46,4.59,118,-
"Daniel Braverman",WR,-,70,25.1,2016,7.09,4.16,6.88,4.58,112,10
"Daniel Williams",WR,-,74,30.0,2017,Undrafted,4.46,7.44,4.56,121,17
"Danny Amendola",WR,"Detroit Lions",70,26.7,2009,Undrafted,4.25,6.81,4.68,103,13
"Danny Coale",WR,-,72,25.8,2012,5.17,4.09,6.64,4.50,115,12
"Dante Pettis",WR,"San Francisco 49ers",73,24.5,2018,2.12,-,-,4.53,125,11
"Darius Davis",WR,-,71,29.6,2015,Undrafted,4.41,7.28,4.60,125,17
"Darius Jennings",WR,"Tennessee Titans",70,24.2,2015,Undrafted,4.29,6.95,4.52,123,-
"Darius Johnson",WR,-,69,26.4,2013,Undrafted,4.53,7.29,4.60,109,6
"Darius Powe",WR,-,75,27.5,2016,Undrafted,4.29,6.94,4.54,120,17
"Darius Slayton",WR,"New York Giants",73,25.1,2019,5.33,4.15,7.00,4.39,-,11
"Darren Andrews",WR,-,70,28.3,2018,Undrafted,-,-,-,-,19
"Darren Carrington",WR,-,74,25.5,2018,Undrafted,4.51,6.96,4.83,120,9
"Darreus Rogers",WR,-,73,28.5,2017,Undrafted,4.54,7.22,4.94,112,8
"Darrius Heyward-Bey",WR,-,74,27.0,2009,1.07,4.18,6.80,4.30,126,16
"Darrius Shepherd",WR,"Green Bay Packers",71,25.9,2019,Undrafted,4.40,7.13,4.66,120,14
"Darryl Surgent",WR,-,71,26.5,2014,Undrafted,4.28,6.87,4.60,133,8
"Darvin Kidsy",WR,Washington,72,24.4,2018,Undrafted,-,-,4.51,127,-
"Daurice Fountain",WR,"Indianapolis Colts",73,27.2,2018,5.22,4.29,7.02,4.56,134,14
"Davante Adams",WR,"Green Bay Packers",73,28.0,2014,2.21,4.30,6.82,4.56,123,14
"David Gettis",WR,-,75,27.1,2010,6.29,4.41,6.94,4.43,124,15
"David Moore",WR,"Seattle Seahawks",73,28.9,2017,7.08,4.38,6.98,4.48,124,26
"David Nelson",WR,-,77,25.4,2010,Undrafted,4.13,6.79,4.59,112,16
"David Reed",WR,-,72,25.8,2010,5.25,4.38,6.95,4.56,114,15
"David Richards",WR,-,75,25.6,2016,Undrafted,4.39,-,4.73,122,13
"David Sills",WR,"Buffalo Bills",75,26.4,2019,Undrafted,4.28,6.97,4.57,120,14
"Davon Grayson",WR,"Kansas City Chiefs",73,26.3,2018,Undrafted,4.40,7.14,4.51,124,19
"Davonte Allen",WR,-,73,27.4,2016,Undrafted,4.44,6.81,4.62,128,15
"De'Anthony Thomas",WR,-,69,25.7,2014,4.24,4.21,6.83,4.50,124,8
"De'Mornay Pierson-El",WR,-,69,28.6,2018,Undrafted,4.28,6.98,4.62,120,14
"DeAndre Carter",WR,"Houston Texans",68,28.1,2015,Undrafted,3.80,6.64,4.49,126,17
"DeAndre Hopkins",WR,"Houston Texans",73,28.2,2013,1.27,4.50,6.83,4.57,115,15
"DeAndre Reaves",WR,-,70,25.7,2016,Undrafted,4.38,7.01,4.58,117,10
"DeAndre Smelter",WR,-,74,29.0,2015,4.33,-,-,4.57,110,-
"DeAndrew White",WR,"Carolina Panthers",71,26.9,2015,Undrafted,4.18,6.97,4.44,118,13
"DeAngelo Yancey",WR,"New York Jets",74,28.2,2017,5.32,4.27,6.84,4.58,121,21
"DeMario Bennett",WR,-,74,23.2,2014,Undrafted,4.52,6.93,4.53,123,-
"DeSean Jackson",WR,"Philadelphia Eagles",70,25.1,2008,2.18,4.19,6.82,4.35,120,-
"DeVante Parker",WR,"Miami Dolphins",75,26.1,2015,1.14,-,-,4.45,125,17
"DeVier Posey",WR,-,74,27.0,2012,3.05,4.15,7.03,4.50,123,14
"Deante' Gray",WR,-,68,28.0,2017,Undrafted,4.28,7.01,4.48,115,12
"Dede Westbrook",WR,"Jacksonville Jaguars",72,24.1,2017,4.03,4.34,7.20,4.44,120,8
"Deebo Samuel",WR,"San Francisco 49ers",71,29.8,2019,2.04,4.14,7.03,4.48,122,15
"Demarcus Ayers",WR,-,69,26.9,2016,7.08,4.33,7.00,4.72,123,-
"Demarcus Robinson",WR,"Kansas City Chiefs",73,26.8,2016,4.28,4.19,6.77,4.59,123,9
"Demaryius Thomas",WR,"New England Patriots",75,28.6,2010,1.22,-,-,4.41,-,-
"Denarius Moore",WR,-,72,26.3,2011,5.17,4.15,6.78,4.45,118,13
"Dennis Parks",WR,-,73,26.5,2016,Undrafted,4.48,7.44,4.66,122,10
"Deon Cain",WR,"Indianapolis Colts",74,25.9,2018,6.11,4.37,6.71,4.43,115,11
"Deon Long",WR,-,72,26.0,2015,Undrafted,4.27,6.98,4.51,120,12
"Deon-Tay McManus",WR,-,72,30.6,2017,Undrafted,4.41,7.38,4.59,116,20
